thevalleyestate.com.au	offer	thevalleyestate.com.au-1	V1	V1_reception	1	host their ceremony, photoshoot, and reception all within the one, exclusive property	https://thevalleyestate.com.au/weddings/
thevalleyestate.com.au	offer	thevalleyestate.com.au-1	V1	V1_full_wedding	1	The Valley Estate is the complete wedding venue	https://thevalleyestate.com.au/weddings/
thevalleyestate.com.au	offer	thevalleyestate.com.au-1	V1	V1_packaged	1	host their ceremony, photoshoot, and reception all within the one, exclusive property	https://thevalleyestate.com.au/weddings/		Ceremony bundled with photoshoot and reception in one offer.
thevalleyestate.com.au	offer	thevalleyestate.com.au-1	V1	V1_legal_ceremony	1	Non-denominational, The Chapel is suitable for both religious & civil ceremonies.	https://thevalleyestate.com.au/ceremony/
thevalleyestate.com.au	offer	thevalleyestate.com.au-1	V1	V1_vow_renewal	1	The stunning Bridgerton-inspired celebration at The Valley Estate for Ellie Gonsalves and Ross Scutts featured in the pages of QWeekend.	https://thevalleyestate.com.au/media/qweekend-vow-renewal-of-ellie-ross/		A lavish vow renewal is described as having been held at the venue.
thevalleyestate.com.au	group	thevalleyestate.com.au-1	V1	V1_group	0			whole scope	V1_ceremony_only_option, V1_reception_only_option, V1_prewedding_event, V1_postwedding_event, V1_multiday, V1_elopement_tier, V1_venue_only, V1_symbolic_only, V1_stage_unstated: none stated in captured Scope A-wedding text.
thevalleyestate.com.au	offer	thevalleyestate.com.au-1	V2	V2_c_chapel_church	1	The Valley Estate Chapel is wildly charming, understated & exquisitely finished.	https://thevalleyestate.com.au/ceremony/
thevalleyestate.com.au	offer	thevalleyestate.com.au-1	V2	V2_c_garden_lawn	1	Outdoor Garden Ceremony (additional charges apply as detailed in our wedding brochure)	https://thevalleyestate.com.au/wedding-enquiry-form/
thevalleyestate.com.au	offer	thevalleyestate.com.au-1	V2	V2_c_beach_waterfront	1	Picture saying your vows with our lake as a backdrop framed by our beautiful gardens.	https://thevalleyestate.com.au/ceremony/		Jetty ceremony space overlooks a lake.
thevalleyestate.com.au	offer	thevalleyestate.com.au-1	V2	V2_ceremony_location_choice	1	Where do you see your ceremony taking place at The Valley Estate?(Required) Outdoor Garden Ceremony...The Chapel...The Glasshouse...I would prefer to view all spaces during our tour before making a decision	https://thevalleyestate.com.au/wedding-enquiry-form/
thevalleyestate.com.au	offer	thevalleyestate.com.au-1	V2	V2_c_locations_verbatim	Outdoor Garden Ceremony; The Chapel; The Glasshouse	Where do you see your ceremony taking place at The Valley Estate?(Required) Outdoor Garden Ceremony...The Chapel...The Glasshouse	https://thevalleyestate.com.au/wedding-enquiry-form/
thevalleyestate.com.au	offer	thevalleyestate.com.au-1	V2	V2_r_indoor_room	1	the Manor is a bright and impossibly beautiful space that features dramatic arched windows and grand chandeliers	https://thevalleyestate.com.au/reception/
thevalleyestate.com.au	offer	thevalleyestate.com.au-1	V2	V2_r_open_outdoor	1	Showcasing large outdoor lawn spaces, bar areas and comfortable seating	https://thevalleyestate.com.au/reception/		The Terrace.
thevalleyestate.com.au	offer	thevalleyestate.com.au-1	V2	V2_multi_space	1	Palatial yet at the same time intimate, the Manor & Terrace are designed for bespoke weddings	https://thevalleyestate.com.au/reception/
thevalleyestate.com.au	offer	thevalleyestate.com.au-1	V2	V2_space_names_verbatim	The Manor; The Glasshouse; The Chapel; Gentleman's Retreat; The Sanctuary; The Terrace; The Jetty	THE MANOR / THE GLASSHOUSE / THE CHAPEL / GENTLEMAN'S RETREAT / The Sanctuary / THE TERRACE	https://thevalleyestate.com.au/our-spaces/		Jetty named on /ceremony/, not /our-spaces/.
thevalleyestate.com.au	group	thevalleyestate.com.au-1	V2	V2_group	0			whole scope	V2_c_indoor_room, V2_c_barn_shed, V2_c_marquee_tent, V2_c_covered_outdoor, V2_c_paddock_field_orchard, V2_c_forest_bush, V2_c_rooftop_terrace, V2_c_other, V2_r_barn_shed, V2_r_marquee_tent, V2_r_covered_outdoor, V2_r_restaurant_bar, V2_r_whole_venue, V2_r_other, V2_wet_weather_alt, V2_offsite_ceremony: none stated in captured scope.
thevalleyestate.com.au	group	thevalleyestate.com.au-1	V3	V3_group	0			whole scope	No layout terms (ceremony rows, standing, seated round/long tables, cocktail, theatre, dance floor within) stated anywhere in captured wedding scope.
thevalleyestate.com.au	group	thevalleyestate.com.au-1	V4	V4_group	0			whole scope	No statement combines a cardinal number, a people-counting unit, and a capacity/limiting construction; V4_max_band = 0. A testimonial mentions "our guest count exceeded the venue's limit" with no figure, which does not qualify.
thevalleyestate.com.au	group	thevalleyestate.com.au-1	V5	V5_group	0			whole scope	No hire-length time block (V5_block_band), slot times, access-before/after, rehearsal, multiday, or curfew-linked end time stated for the wedding hire itself.
thevalleyestate.com.au	pcr	thevalleyestate.com.au-1-1	V5	V5_element_durations	Four Hours; Five Hours; Six Hours (beverage package duration options)	What beverage package do you have in mind?(Required) Four Hours Five Hours Six Hours	https://thevalleyestate.com.au/wedding-enquiry-form/		Duration attaches to the beverage-package element only, not to the wedding hire block (§4.5 E2); V5_block_band remains 0.
thevalleyestate.com.au	pcr	thevalleyestate.com.au-1-1	V6	V6	2	I/we confirm that I/we have read and understand the minimum spend requirements set out below and as detailed in the wedding brochure/s sent through to me/us.	https://thevalleyestate.com.au/wedding-enquiry-form/		Price route stated (enquiry plus a wedding brochure sent afterward); no number published anywhere in captured scope (capture front matter: distinct_prices=0, plausible_prices=0).
thevalleyestate.com.au	pcr	thevalleyestate.com.au-1-1	V7	V7_min_spend	1	I/we confirm that I/we have read and understand the minimum spend requirements set out below and as detailed in the wedding brochure/s sent through to me/us.	https://thevalleyestate.com.au/wedding-enquiry-form/
thevalleyestate.com.au	group	thevalleyestate.com.au-1-1	V7	V7_group	0			whole scope	V7_package_total, V7_per_head, V7_per_head_child, V7_site_fee, V7_ceremony_fee, V7_min_guests_charged, V7_per_hour, V7_per_night, V7_tier_day, V7_tier_season, V7_tier_headcount, V7_tier_year, V7_per_extra_guest, V7_per_extra_hour, V7_addon_priced, V7_fee_waived, V7_commission_or_percentage: none stated in captured scope.
thevalleyestate.com.au	group	thevalleyestate.com.au-1-1	V8	V8_group	0			whole scope	No monetary figure of any kind is published anywhere in the captured scope; amounts table carries zero rows (capture front matter: published_prices "none published", distinct_prices 0, plausible_prices 0).
thevalleyestate.com.au	offer	thevalleyestate.com.au-1	V9	V9_min_spend	1	I/we confirm that I/we have read and understand the minimum spend requirements set out below and as detailed in the wedding brochure/s sent through to me/us.	https://thevalleyestate.com.au/wedding-enquiry-form/
thevalleyestate.com.au	offer	thevalleyestate.com.au-1	V9	V9_min_spend_scope	not_stated	minimum spend requirements set out below and as detailed in the wedding brochure/s	https://thevalleyestate.com.au/wedding-enquiry-form/		Scope of the minimum spend (food/beverage/overall) is not specified in captured text; the figure and its scope sit only in the gated brochure.
thevalleyestate.com.au	group	thevalleyestate.com.au-1	V9	V9_group	0			whole scope	V9_deposit, V9_bond, V9_payment_schedule, V9_instalments_offered, V9_balance_deadline, V9_full_prepay, V9_min_guests_charged, V9_final_numbers_deadline, V9_cancellation_terms, V9_postponement_terms, V9_price_hold, V9_price_validity, V9_price_increase_term, V9_surcharge, V9_service_charge, V9_card_fee, V9_booking_fee, V9_no_hire_fee_stated, V9_wedding_insurance: none stated in captured scope.
thevalleyestate.com.au	group	thevalleyestate.com.au-1	V10	V10_group	0			whole scope	The available-dates list shows individual dates by month with no accompanying day-of-week or season price-band statement; no date-pricing architecture stated.
thevalleyestate.com.au	offer	thevalleyestate.com.au-1	V11	V11_bar_structure	1	Showcasing large outdoor lawn spaces, bar areas and comfortable seating	https://thevalleyestate.com.au/reception/
thevalleyestate.com.au	offer	thevalleyestate.com.au-1	V11	V11_chef_kitchen_staff	1	With on-site team of chefs, you're in exceptional hands.	https://thevalleyestate.com.au/food-and-drink/
thevalleyestate.com.au	offer	thevalleyestate.com.au-1	V11	V11_coordinator_day	1	I could not be more appreciative of my wedding coordinator, Lauren Bruton	https://thevalleyestate.com.au/testimonials/
thevalleyestate.com.au	offer	thevalleyestate.com.au-1	V11	V11_getting_ready_room	1	The Sanctuary Bridal Suite is the epitome of elegance, whilst the boys are set in style in The Gentleman's Retreat.	https://thevalleyestate.com.au/pre-ceremony/
thevalleyestate.com.au	offer	thevalleyestate.com.au-1	V11	V11_accommodation_couple	1	Exquisitely appointed accommodation options are available throughout the Currumbin Valley for your wedding night.	https://thevalleyestate.com.au/our-spaces/
thevalleyestate.com.au	offer	thevalleyestate.com.au-1	V11	V11_aisle_styling	1	Would you like to include any of the following 'Additions'? (additional costs apply as detailed in our brochure)(Required)...Confetti Package	https://thevalleyestate.com.au/wedding-enquiry-form/
thevalleyestate.com.au	offer	thevalleyestate.com.au-1	V11	V11_other_element	1	Wedding Party Brunch, Wedding Party Lunch, Cheese Table, Seafood Platters, Oyster Bar, Charcuterie Table, One of The Valley Estate Carts, (Drinks or Gelati Cart), Bridal Party Bar Tab, ... Champagne Tower	https://thevalleyestate.com.au/wedding-enquiry-form/		V11_other_text: Wedding Party Brunch; Wedding Party Lunch; Cheese Table; Seafood Platters; Oyster Bar; Charcuterie Table; drinks/gelati cart; Bridal Party Bar Tab; Champagne Tower.
thevalleyestate.com.au	group	thevalleyestate.com.au-1	V11	V11_group	0			whole scope	All remaining closed-list V11 elements (ceremony_structure, signing_table, ceremony_pa, umbrellas_blankets, tables, chairs, linen, crockery, cutlery, glassware, centrepieces, florals, signage_stationery, cake_table, dance_floor, stage, kitchen_access, fridge_ice, pa_speakers, dj_band, av_screen, lighting, heating_cooling, power, wifi, toilets, parking, marquee, wet_weather_cover, setup, packdown, cleaning, waste, staff_service, staff_bar, planning_meetings, menu_tasting, security, celebrant, photographer, cake, accommodation_guests, transport, fireworks_effects, pets_animals): not named anywhere in captured Scope A-wedding text.
thevalleyestate.com.au	pcr	thevalleyestate.com.au-1-1	V12	V12_aisle_styling	2	additional costs apply as detailed in our brochure	https://thevalleyestate.com.au/wedding-enquiry-form/		Confetti Package addition: extra, unpriced.
thevalleyestate.com.au	pcr	thevalleyestate.com.au-1-1	V12	V12_other_element	2	additional costs apply as detailed in our brochure	https://thevalleyestate.com.au/wedding-enquiry-form/		Other named additions bundle: extra, unpriced.
thevalleyestate.com.au	group	thevalleyestate.com.au-1-1	V12	V12_group	0			whole scope	V12_bar_structure, V12_chef_kitchen_staff, V12_coordinator_day, V12_getting_ready_room, V12_accommodation_couple: each element is named in scope (V11=1) but no statement places it inside or outside a figure, so coverage status is 0 (not stated) on the single PCR.
thevalleyestate.com.au	group	thevalleyestate.com.au-1-1	V12	V12_group	9			whole scope	Every element coded 0 or 9 at V11 (the full closed list except the seven coded above) is 9 (element not present) at V12 on this PCR.
thevalleyestate.com.au	pcr	thevalleyestate.com.au-1-1	V13	V13_ceremony	4	additional charges apply as detailed in our wedding brochure	https://thevalleyestate.com.au/wedding-enquiry-form/		Attached to each of the three ceremony-location options (Outdoor Garden Ceremony, The Chapel, The Glasshouse); venue charges separately, no number published.
thevalleyestate.com.au	pcr	thevalleyestate.com.au-1-1	V13	V13_styling	4	Would you like to include any of the following 'Additions'? (additional costs apply as detailed in our brochure)	https://thevalleyestate.com.au/wedding-enquiry-form/		Confetti Package styling addition; venue charges separately, no number published.
thevalleyestate.com.au	pcr	thevalleyestate.com.au-1-1	V13	V13_accommodation	3	We can also recommend a large range of additional accommodation through our partners across the Gold Coast.	https://thevalleyestate.com.au/our-spaces/		Couple books freely with recommended partners; venue itself does not bill it.
thevalleyestate.com.au	group	thevalleyestate.com.au-1-1	V13	V13_group	0			whole scope	V13_venue_access, V13_food, V13_beverage, V13_service_staff, V13_coordination, V13_furniture_equipment, V13_entertainment, V13_photography, V13_celebrant_legal, V13_cake, V13_transport: not addressed by any billing statement in captured scope (no figure exists, so none can be status 6; no "charged separately" or "couple-arranged" statement was found for these blocks specifically).
thevalleyestate.com.au	pcr	thevalleyestate.com.au-1-1	V14	V14_label_verbatim	bespoke packages	Register your interest to receive our bespoke packages and to organise a tour by appointment only.	https://thevalleyestate.com.au/weddings/		Recurs verbatim as page-footer boilerplate across most captured pages.
thevalleyestate.com.au	pcr	thevalleyestate.com.au-1-1	V14	V14_package_word	1	bespoke packages	https://thevalleyestate.com.au/weddings/
thevalleyestate.com.au	pcr	thevalleyestate.com.au-1-1	V14	V14_exclusive_word	1	The Valley Estate hosts exclusive, bespoke wedding celebrations.	https://thevalleyestate.com.au/weddings/
thevalleyestate.com.au	group	thevalleyestate.com.au-1-1	V14	V14_group	0			whole scope	V14_label_defined, V14_inclusive_word, V14_dry_word, V14_blank_canvas_word, V14_diy_word, V14_elopement_word, V14_luxury_word, V14_tier_position: none stated/no ordered tier set published.
thevalleyestate.com.au	offer	thevalleyestate.com.au-1	V15	V15_inhouse_offered	1	With on-site team of chefs, you're in exceptional hands.	https://thevalleyestate.com.au/food-and-drink/
thevalleyestate.com.au	offer	thevalleyestate.com.au-1	V15	V15_menu_choice	1	What menu style did you have in mind for your reception?(Required) GRACE: Alternate Drop SIGNATURE: Share Style LUXE: Three Course Choice MARKETTA: Cocktail SELECT: Custom	https://thevalleyestate.com.au/wedding-enquiry-form/
thevalleyestate.com.au	offer	thevalleyestate.com.au-1	V15	V15_service_styles_verbatim	Alternate Drop; Share Style; Three Course Choice; Cocktail; Custom	GRACE: Alternate Drop SIGNATURE: Share Style LUXE: Three Course Choice MARKETTA: Cocktail SELECT: Custom	https://thevalleyestate.com.au/wedding-enquiry-form/
thevalleyestate.com.au	group	thevalleyestate.com.au-1	V15	V15_group	0			whole scope	V15_inhouse_only, V15_menu_published, V15_canapes_stated, V15_preferred_list, V15_external_permitted, V15_external_fee, V15_external_conditions, V15_byo_food, V15_byo_food_prohibited, V15_cake_permitted, V15_cakeage, V15_kitchen_available, V15_tasting_offered, V15_dietary, V15_child_meal, V15_supplier_meal, V15_min_catering_spend, V15_no_catering: none stated in captured wedding scope (menu-item detail on /asado-fathers-day-bbq/ and Melbourne Cup pages is out of Scope A-wedding under S8).
thevalleyestate.com.au	offer	thevalleyestate.com.au-1	V16	V16_beverage_package	1	What beverage package do you have in mind?(Required) Four Hours Five Hours Six Hours	https://thevalleyestate.com.au/wedding-enquiry-form/
thevalleyestate.com.au	offer	thevalleyestate.com.au-1	V16	V16_package_duration_verbatim	Four Hours; Five Hours; Six Hours	Four Hours Five Hours Six Hours	https://thevalleyestate.com.au/wedding-enquiry-form/
thevalleyestate.com.au	group	thevalleyestate.com.au-1	V16	V16_group	0			whole scope	V16_bar_operated, V16_package_tiers_verbatim, V16_on_consumption, V16_cash_bar, V16_byo_alcohol, V16_corkage, V16_byo_alcohol_prohibited, V16_licensed_stated, V16_licence_conditions, V16_occasional_licence, V16_rsa_staff, V16_service_end_time, V16_dry_site, V16_soft_drinks, V16_welcome_drink, V16_toast_drink: none stated in captured scope; V16_alcohol_not_addressed left 0 since a package basis is addressed even without licensing detail.
thevalleyestate.com.au	offer	thevalleyestate.com.au-1	V17	V17	5	Exclusively yours for the day of your wedding.	https://thevalleyestate.com.au/explore/		Corroborated by "The Valley Estate hosts exclusive, bespoke wedding celebrations" (/weddings/) and "host their ceremony, photoshoot, and reception all within the one, exclusive property" (/weddings/).
thevalleyestate.com.au	offer	thevalleyestate.com.au-1	V17	V17_exclusive_period_verbatim	for the day of your wedding	Exclusively yours for the day of your wedding.	https://thevalleyestate.com.au/explore/
thevalleyestate.com.au	group	thevalleyestate.com.au-1	V17	V17_group	0			whole scope	V17_one_wedding_per_day, V17_one_wedding_per_weekend, V17_public_access, V17_exclusivity_surcharge: not separately stated beyond the general exclusivity claim.
thevalleyestate.com.au	group	thevalleyestate.com.au-1	V18	V18_group	0			whole scope	Accommodation for the wedding night is described only as available "throughout the Currumbin Valley" and via unnamed partners "across the Gold Coast"; no on-site accommodation, room/bed count, minimum-nights, or specifically named property is stated in captured scope.
thevalleyestate.com.au	group	thevalleyestate.com.au-1	V19	V19_group	0			whole scope	No curfew, music end-time, noise limit, amplified-music restriction, fireworks/flame/confetti/vehicle/animal/drone/smoking rule, or neighbour reference is stated anywhere in captured scope.
thevalleyestate.com.au	group	thevalleyestate.com.au-1	V20	V20_group	0			whole scope	No public-liability, supplier-insurance, compulsory-supplier-list, security, signed-contract, indemnity, damage-liability, age, supervision, risk-assessment, health, or legal-paperwork obligation is stated anywhere in captured scope.
thevalleyestate.com.au	unit		V21	V21_enquiry_form	1	ENQUIRE NOW Your dream event at The Valley Estate...YOUR DETAILS...Email(Required) Phone(Required)	https://thevalleyestate.com.au/enquire-now/
thevalleyestate.com.au	unit		V21	V21_form_fields_verbatim	Your Name; Your Partner's Name; Email; Phone; Address; Event Name; Event Date; Number Of Attendees; Event Type; Are Dates Flexible; Booking Reference Code; Comments	YOUR DETAILSYour Name(Required)...Event Name(Required)Event Date(Required) Number Of Attendees(Required)Event Type...Are Dates Flexible(Required)	https://thevalleyestate.com.au/enquire-now/
thevalleyestate.com.au	unit		V21	V21_email	1	enquiries@thevalleyestate.com.au	https://thevalleyestate.com.au/contact-us/
