attempt_file,segment,t0_aest,source,worker_start_aest,worker_end_aest,elapsed_s,outcome,n_requests_in_window,queue_wait_s,compute_s_in_window,prompt_tokens_max_in_window
pilot4.out,supplier-horse-owner,2026-09-20 23:02:27,sweep-supplier-horse-owner-horsezone-com-au,2026-09-20 23:02:32,2026-09-20 23:52:35,3003,failed,6,21.0,2959.3,21678
pilot4.out,supplier-horse-owner,2026-09-20 23:02:27,sweep-supplier-horse-owner-horsedeals-com-au-search-endpoint,2026-09-20 23:02:32,2026-09-20 23:02:32,,queued_not_reached (dispatcher runs one worker at a time; never got a phase line before the attempt ended),0,,0.0,
pilot4.out,supplier-horse-owner,2026-09-20 23:02:27,sweep-supplier-horse-owner-facebook-sale-and-lease-groups,2026-09-20 23:02:32,2026-09-20 23:02:32,,queued_not_reached (dispatcher runs one worker at a time; never got a phase line before the attempt ended),0,,0.0,
pilot4.out,supplier-horse-owner,2026-09-20 23:02:27,sweep-supplier-horse-owner-gumtree-horses-and-ponies,2026-09-20 23:02:32,2026-09-20 23:02:32,,queued_not_reached (dispatcher runs one worker at a time; never got a phase line before the attempt ended),0,,0.0,
pilot4.out,supplier-horse-owner,2026-09-20 23:02:27,sweep-supplier-horse-owner-biosecurity-queensland-property-identification-codes,2026-09-20 23:02:32,2026-09-20 23:02:32,,queued_not_reached (dispatcher runs one worker at a time; never got a phase line before the attempt ended),0,,0.0,
pilot4.out,supplier-horse-owner,2026-09-20 23:02:27,sweep-supplier-horse-owner-the-estate-s-own-ledger-and-mailbox,2026-09-20 23:02:32,2026-09-20 23:02:32,,queued_not_reached (dispatcher runs one worker at a time; never got a phase line before the attempt ended),0,,0.0,
pilot5.out,supplier-horse-owner,2026-09-20 23:52:51,sweep-supplier-horse-owner-horsezone-com-au,2026-09-20 23:52:56,2026-09-21 00:00:51,475,"ended_by_operator (assumed, no FAIL line logged)",1,35.0,1284.0,21980
pilot5.out,supplier-horse-owner,2026-09-20 23:52:51,sweep-supplier-horse-owner-horsedeals-com-au-search-endpoint,2026-09-20 23:52:56,2026-09-20 23:52:56,,queued_not_reached (dispatcher runs one worker at a time; never got a phase line before the attempt ended),0,,0.0,
pilot5.out,supplier-horse-owner,2026-09-20 23:52:51,sweep-supplier-horse-owner-facebook-sale-and-lease-groups,2026-09-20 23:52:56,2026-09-20 23:52:56,,queued_not_reached (dispatcher runs one worker at a time; never got a phase line before the attempt ended),0,,0.0,
pilot5.out,supplier-horse-owner,2026-09-20 23:52:51,sweep-supplier-horse-owner-gumtree-horses-and-ponies,2026-09-20 23:52:56,2026-09-20 23:52:56,,queued_not_reached (dispatcher runs one worker at a time; never got a phase line before the attempt ended),0,,0.0,
pilot5.out,supplier-horse-owner,2026-09-20 23:52:51,sweep-supplier-horse-owner-biosecurity-queensland-property-identification-codes,2026-09-20 23:52:56,2026-09-20 23:52:56,,queued_not_reached (dispatcher runs one worker at a time; never got a phase line before the attempt ended),0,,0.0,
pilot5.out,supplier-horse-owner,2026-09-20 23:52:51,sweep-supplier-horse-owner-the-estate-s-own-ledger-and-mailbox,2026-09-20 23:52:56,2026-09-20 23:52:56,,queued_not_reached (dispatcher runs one worker at a time; never got a phase line before the attempt ended),0,,0.0,
pilot6.out,supplier-horse-owner,2026-09-21 00:00:51,sweep-supplier-horse-owner-horsezone-com-au,2026-09-21 00:00:56,,,in_flight,0,,0.0,
pilot6.out,supplier-horse-owner,2026-09-21 00:00:51,sweep-supplier-horse-owner-horsedeals-com-au-search-endpoint,2026-09-21 00:00:56,2026-09-21 00:00:56,,queued_not_reached (dispatcher runs one worker at a time; never got a phase line before the attempt ended),0,,0.0,
pilot6.out,supplier-horse-owner,2026-09-21 00:00:51,sweep-supplier-horse-owner-facebook-sale-and-lease-groups,2026-09-21 00:00:56,2026-09-21 00:00:56,,queued_not_reached (dispatcher runs one worker at a time; never got a phase line before the attempt ended),0,,0.0,
pilot6.out,supplier-horse-owner,2026-09-21 00:00:51,sweep-supplier-horse-owner-gumtree-horses-and-ponies,2026-09-21 00:00:56,2026-09-21 00:00:56,,queued_not_reached (dispatcher runs one worker at a time; never got a phase line before the attempt ended),0,,0.0,
pilot6.out,supplier-horse-owner,2026-09-21 00:00:51,sweep-supplier-horse-owner-biosecurity-queensland-property-identification-codes,2026-09-21 00:00:56,2026-09-21 00:00:56,,queued_not_reached (dispatcher runs one worker at a time; never got a phase line before the attempt ended),0,,0.0,
pilot6.out,supplier-horse-owner,2026-09-21 00:00:51,sweep-supplier-horse-owner-the-estate-s-own-ledger-and-mailbox,2026-09-21 00:00:56,2026-09-21 00:00:56,,queued_not_reached (dispatcher runs one worker at a time; never got a phase line before the attempt ended),0,,0.0,
